Row,Mean_calibrated,CI_calib,Mean_expert,CI_expert
"Seychelles",3607.39500392293,172.892822780347,9761.0529691995,482.282146303833
"Andorra",NaN,NaN,NaN,NaN
"Gambia",139.183329511274,5.64692698320682,353.340002748781,15.4885609171465
"Cape Verde",523.954076780044,23.2071657032786,1381.43862923832,67.8440368970418
"Central African Republic",69.9912161256245,2.72646121394497,158.077665484939,6.07984422387159
"Burundi",26.5421453912138,1.08386355772823,64.6506575335136,2.76059790679461
"Saint Lucia",1572.58259229452,65.2177425500523,3940.4125308038,170.226976210388
"Solomon Islands",NaN,NaN,NaN,NaN
"Guinea-Bissau",136.089668945643,5.3155014900739,318.746919707676,12.6689138844726
"Grenada",1674.89594709869,67.8972618690652,4249.95451109461,186.560870160208
"Samoa",NaN,NaN,NaN,NaN
"Saint Vincent and the Grenadines",1427.35266865777,60.6768224091388,3728.62482637597,171.363822135049
"Saint Kitts and Nevis",NaN,NaN,NaN,NaN
"Liechtenstein",NaN,NaN,NaN,NaN
"Palau",NaN,NaN,NaN,NaN
"British Virgin Islands",NaN,NaN,NaN,NaN
"Timor-Leste",NaN,NaN,NaN,NaN
"Nauru",NaN,NaN,NaN,NaN
"Comoros",130.986894809678,5.44123031974375,338.535961861538,15.3870821500427
"Dominica",1522.65021993257,62.6751728461687,3918.65022589856,176.34893946049
"Vanuatu",NaN,NaN,NaN,NaN
"Martinique",NaN,NaN,NaN,NaN
"Tonga",NaN,NaN,NaN,NaN
"Réunion",NaN,NaN,NaN,NaN
"Saint Pierre and Miquelon",NaN,NaN,NaN,NaN
"Turks and Caicos Islands",NaN,NaN,NaN,NaN
"Micronesia (Federated States of)",NaN,NaN,NaN,NaN
"Anguilla",4437.5389386106,244.310965685752,13173.5904074689,726.123864270501
"Marshall Islands",NaN,NaN,NaN,NaN
"Sao Tome and Principe",369.819771672007,14.707014776649,913.973091433719,39.0522436565433
"Kiribati",NaN,NaN,NaN,NaN
"Cook Islands",NaN,NaN,NaN,NaN
"Montserrat",8018.31459724301,328.936020702462,19315.6004480794,804.897994038722
"French Guiana",NaN,NaN,NaN,NaN
"Wallis and Futuna Islands",NaN,NaN,NaN,NaN
"Saint Helena",NaN,NaN,NaN,NaN
"Tuvalu",NaN,NaN,NaN,NaN
"Niue",NaN,NaN,NaN,NaN
